"","Athlete.Name","Team","Rank_800","Rank_1600","Rank_3200","Rank_5k_XC","Total_Score","Best_Event","Second_Best_Event","Avg_Score","Weighted_Avg_Score","Weighted_Total_Score"
"1","Coleman Cronk","Florida State",0.00469483568075117,0.0720338983050847,0.62,NA,0.696728733985836,0.62,0.0720338983050847,0.232242911328612,0.346016949152542,0.692033898305085
"2","Isaac Alonzo","Texas",0.00938967136150235,0.338983050847458,0.635,0.938144329896907,1.92151705210587,0.938144329896907,0.635,0.480379263026467,0.786572164948454,1.57314432989691
"3","Carson Burian","Alabama",0.0140845070422535,0.779661016949153,0.74,0.381443298969072,1.91518882296048,0.779661016949153,0.74,0.47879720574012,0.759830508474576,1.51966101694915
"4","Jack Scherer","NAU",0.0187793427230047,0.076271186440678,0.54,0.963917525773196,1.59896805493688,0.963917525773196,0.54,0.39974201373422,0.751958762886598,1.5039175257732
"5","Alex Kiefer","Portland",0.0234741784037559,0.0211864406779661,0.05,0.11340206185567,0.208062680937392,0.11340206185567,0.05,0.052015670234348,0.0817010309278351,0.16340206185567
"6","Aiden Larsen","Portland",0.028169014084507,0.0296610169491525,0.025,NA,0.0828300310336596,0.0296610169491525,0.028169014084507,0.0276100103445532,0.0289150155168298,0.0578300310336596
"7","Logan Read","Kansas",0.0328638497652582,0.13135593220339,0.24,0.257731958762887,0.661951740731535,0.257731958762887,0.24,0.165487935182884,0.248865979381443,0.497731958762887
"8","Peter Walsdorf","Kansas",0.0375586854460094,0.161016949152542,0.685,0.0360824742268041,0.919658108825356,0.685,0.161016949152542,0.229914527206339,0.423008474576271,0.846016949152542
"9","Philip Metclaf","Vanderbilt",0.0422535211267606,0.169491525423729,0.395,0.77319587628866,1.37994092283915,0.77319587628866,0.395,0.344985230709787,0.58409793814433,1.16819587628866
"10","Conor Bohrer","Duke",0.0469483568075117,0.182203389830508,0.625,0.809278350515464,1.66343009715348,0.809278350515464,0.625,0.415857524288371,0.717139175257732,1.43427835051546
"11","Zach Hodges","Vanderbilt",0.0516431924882629,0.165254237288136,0.275,0.360824742268041,0.85272217204444,0.360824742268041,0.275,0.21318054301111,0.317912371134021,0.635824742268041
"12","Walker Cole","Utah State",0.0563380281690141,0.516949152542373,0.675,0.902061855670103,2.15034903638149,0.902061855670103,0.675,0.537587259095373,0.788530927835052,1.5770618556701
"13","Will Dixon","Utah State",0.0610328638497653,0.0254237288135593,0.235,0.335051546391753,0.656508139055077,0.335051546391753,0.235,0.164127034763769,0.285025773195876,0.570051546391753
"14","Joshua Galindo","New Mexico",0.0657276995305164,0.0466101694915254,0.12,0.0412371134020619,0.273574982424104,0.12,0.0657276995305164,0.0683937456060259,0.0928638497652582,0.185727699530516
"15","Evan Pardo","LSU",0.0704225352112676,0.038135593220339,0.165,0.144329896907216,0.417888025338823,0.165,0.144329896907216,0.104472006334706,0.154664948453608,0.309329896907216
