"","Athlete.Name","Team","Rank_800","Rank_1600","Rank_3200","Rank_5k_XC","Total_Score","Best_Event","Second_Best_Event","Avg_Score","Weighted_Avg_Score","Weighted_Total_Score"
"1","Joey Rinke","GVSU",0.00543478260869565,0.407894736842105,0.954773869346734,0.8125,2.18060338879753,0.954773869346734,0.8125,0.545150847199384,0.883636934673367,1.76727386934673
"2","Ethan Crouch","CHICO STATE",0.0108695652173913,0.214912280701754,0.648241206030151,0.822115384615385,1.69613843656468,0.822115384615385,0.648241206030151,0.42403460914117,0.735178295322768,1.47035659064554
"3","Alex Bagby","Flagler College",0.016304347826087,0.197368421052632,0.085427135678392,0.245192307692308,0.544292212249418,0.245192307692308,0.197368421052632,0.136073053062355,0.22128036437247,0.442560728744939
"4","David Flores","CAL POLY POMONA",0.0217391304347826,0.728070175438597,0.165829145728643,0.0913461538461538,1.00698460544818,0.728070175438597,0.165829145728643,0.251746151362044,0.44694966058362,0.89389932116724
"5","Thomas McDonnell","CAL POLY POMONA",0.0271739130434783,0.0657894736842105,0.829145728643216,0.836538461538462,1.75864757690937,0.836538461538462,0.829145728643216,0.439661894227342,0.832842095090839,1.66568419018168
"6","Juan Castandea","Sioux Falls",0.0326086956521739,NA,0.160804020100503,0.129807692307692,0.323220408060369,0.160804020100503,NA,0.107740136020123,0.160804020100503,0.160804020100503
"7","Jameel Robinson","Clayton State",0.0380434782608696,NA,NA,NA,0.0380434782608696,0.0380434782608696,NA,0.0380434782608696,0.0380434782608696,0.0380434782608696
"8","Eric Anthony Souza-Ponce","WESTERN WASHINGTON",0.0434782608695652,0.776315789473684,0.889447236180904,0.331730769230769,2.04097205575492,0.889447236180904,0.776315789473684,0.510243013938731,0.832881512827294,1.66576302565459
"9","Grant Crabtree","Augusta",0.0489130434782609,0.614035087719298,0.869346733668342,0.831730769230769,2.36402563409667,0.869346733668342,0.831730769230769,0.591006408524168,0.850538751449555,1.70107750289911
"10","Chris Canales","Flagler College",0.0543478260869565,NA,NA,0.00961538461538462,0.0639632107023411,0.0543478260869565,NA,0.0319816053511706,0.0543478260869565,0.0543478260869565
