"","Athlete.Name","Team","Rank_800","Rank_1600","Rank_3200","Rank_5k_XC","Total_Score","Best_Event","Second_Best_Event","Avg_Score","Weighted_Avg_Score","Weighted_Total_Score"
"1","Kaitlyn Sesler ","Lee",0.00591715976331361,0.0172413793103448,NA,0.0175438596491228,0.0407023987227812,0.0175438596491228,0.0172413793103448,0.0135674662409271,0.0173926194797338,0.0347852389594676
"2","Ladeana Perry","Texas A&M Commerce",0.0118343195266272,0.0517241379310345,0.0948905109489051,NA,0.158448968406567,0.0948905109489051,0.0517241379310345,0.0528163228021889,0.0733073244399698,0.14661464887994
"3","Natalie Davies","Wayne State (MI)",0.0177514792899408,0.137931034482759,0.291970802919708,0.380116959064327,0.827770275756735,0.380116959064327,0.291970802919708,0.206942568939184,0.336043880992018,0.672087761984036
"4","Megan Blare","Sioux Falls",0.0236686390532544,NA,NA,0.12280701754386,0.146475656597114,0.12280701754386,NA,0.073237828298557,0.12280701754386,0.12280701754386
"5","Alexis Tracy","Saginaw Valley ",0.029585798816568,0.114942528735632,0.160583941605839,0.415204678362573,0.720316947520613,0.415204678362573,0.160583941605839,0.180079236880153,0.287894309984206,0.575788619968412
"6","Delainey Zock","ALASKA FAIRBANKS",0.0355029585798817,0.551724137931034,0.656934306569343,NA,1.24416140308026,0.656934306569343,0.551724137931034,0.41472046769342,0.604329222250189,1.20865844450038
"7","Jamie Lahey","West Texas",0.0414201183431953,NA,NA,0.0409356725146199,0.0823557908578152,0.0414201183431953,NA,0.0411778954289076,0.0414201183431953,0.0414201183431953
"8","Mya Stam","Florida Southern",0.0473372781065089,0.275862068965517,0.211678832116788,0.239766081871345,0.774644261060159,0.275862068965517,0.239766081871345,0.19366106526504,0.257814075418431,0.515628150836862
"9","Katelyn Ahart","SOUTHERN INDIANA",0.0532544378698225,0.247126436781609,0.18978102189781,0.292397660818713,0.782559557367955,0.292397660818713,0.247126436781609,0.195639889341989,0.269762048800161,0.539524097600323
"10","Kat Valenta","Columbus State",0.0591715976331361,0.028735632183908,0.0437956204379562,0.116959064327485,0.248661914582486,0.116959064327485,0.0591715976331361,0.0621654786456214,0.0880653309803107,0.176130661960621
"11","Maranatha Brueckner","COLORADO CHRISTIAN",0.0650887573964497,0.00574712643678161,0.0072992700729927,0.0760233918128655,0.15415854571909,0.0760233918128655,0.0650887573964497,0.0385396364297724,0.0705560746046576,0.141112149209315
"12","Karah Mcelhone","Florida Southern",0.0710059171597633,0.195402298850575,0.0656934306569343,0.47953216374269,0.811633810409962,0.47953216374269,0.195402298850575,0.202908452602491,0.337467231296632,0.674934462593265
"13","Alyssa Dorn","Saginaw Valley ",0.0769230769230769,0.477011494252874,0.335766423357664,0.456140350877193,1.34584134541081,0.477011494252874,0.456140350877193,0.336460336352702,0.466575922565033,0.933151845130066
