"","Team","N_Runers","Total_Score","Avg_Best_Event","Avg_Score","Avg_Weighted_Score","Total_Weighted_Score","Score_800","Avg_800","Score_1600","Avg_1600","Score_3200","Avg_3200","Score_5kXC","Avg_5kXC","Weighted_Score","Weighted_Score_V2"
"1","Air Force",4,3.8227776191777,0.427411548327767,0.238923601198606,0.358080774163884,2.86464619331107,0.769953051643192,0.192488262910798,0.495762711864407,0.123940677966102,1.155,0.28875,1.4020618556701,0.350515463917526,0.67270418184818,0.98472212895068
"2","Alabama",8,13.5483347976495,0.719578516881474,0.446670818297089,0.592801179748712,9.48481887597939,3.74178403755869,0.467723004694836,3.85593220338983,0.481991525423729,NA,NA,3.02061855670103,0.377577319587629,1.86600029566609,2.81580560380638
"3","Arizona State",1,3.10825848093395,0.924882629107981,0.777064620233487,0.894644704384499,1.789289408769,0.924882629107981,0.924882629107981,0.864406779661017,0.864406779661017,0.52,0.52,0.798969072164949,0.798969072164949,1.06931120985333,1.11830588048062
"4","Arkansas",4,11.6966702515753,0.870550847457627,0.790405626101826,0.859469028481566,6.87575222785252,2.82629107981221,0.706572769953052,3.44491525423729,0.861228813559322,3.41,0.8525,NA,NA,1.91309017719149,2.36353982832431
"5","Auburn",5,8.24020392141421,0.621114401242331,0.523982027056626,0.57919373026557,5.04545842941627,2.26760563380282,0.453521126760563,NA,NA,NA,NA,NA,NA,1.33445716616667,1.69575990505324
"6","Baylor",2,1.62916412974908,0.384976525821596,0.21970131281896,0.302636567995544,1.21054627198218,0.769953051643192,0.384976525821596,0.36864406779661,0.184322033898305,NA,NA,0.185567010309278,0.0927835051546392,0.426757679713027,0.529613993992202
"7","Boise State",4,7.83619677702771,0.728940677966102,0.585141640292568,0.680884310097875,5.447074480783,NA,NA,2.75423728813559,0.688559322033898,2.465,0.61625,NA,NA,1.3677667690355,1.87243185276916
"8","Butler",1,0.471361174209331,0.262886597938144,0.15712039140311,0.262886597938144,0.525773195876289,NA,NA,0.00847457627118644,0.00847457627118644,0.2,0.2,0.262886597938144,0.262886597938144,0.230850952297746,0.32860824742268
"9","BYU",5,10.2666077043541,0.900080434848593,0.576918552640322,0.728823777542065,7.28823777542065,2.09389671361502,0.418779342723005,2.74152542372881,0.548305084745763,NA,NA,NA,NA,1.67515222069501,2.36867727701171
"10","Colorado",9,16.9714639511599,0.770003311004448,0.552941367451066,0.731972787143841,12.8249947046716,NA,NA,NA,NA,NA,NA,5.24226804123711,0.582474226804124,2.2816184032433,3.75522826652579
"11","Duke",3,4.5020391526162,0.728387868516162,0.454020180925315,0.645481234329697,3.87288740597818,1.11267605633803,0.370892018779343,1.55508474576271,0.518361581920904,1.025,0.341666666666667,NA,NA,0.968569153130743,1.45233277724182
"12","Florida",10,20.4243409387538,0.696289550688721,0.533497842833888,0.659212889017956,13.1842577803591,NA,NA,6.13983050847458,0.613983050847458,NA,NA,4.77319587628866,0.477319587628866,2.58769883556782,3.79047411185325
"13","Florida State",6,9.7160409975726,0.690189003436426,0.41451182953755,0.563111858582329,6.75734230298794,1.53990610328638,0.256651017214397,2.02118644067797,0.336864406779661,3.99,0.665,NA,NA,1.45493561590061,2.11166946968373
"14","Furman",7,12.7324230167539,0.725483346816293,0.523391950466071,0.643661007339394,9.01125410275152,NA,NA,3.22881355932203,0.461259079903148,NA,NA,3.51546391752577,0.50220913107511,1.82513161563494,2.73555928119243
"15","Georgetown",6,10.4259596767512,0.825883607506377,0.636962695929201,0.743112096140631,8.18538639080098,NA,NA,NA,NA,NA,NA,NA,NA,1.69143075864227,2.60368066980572
"16","Georgia",5,7.09233909953987,0.594506025025451,0.363769089638302,0.5081479119343,5.081479119343,NA,NA,1.88983050847458,0.377966101694915,1.23,0.246,1.63917525773196,0.327835051546392,1.12892086478332,1.65148071378648
