"","Team","N_Runers","Total_Score","Avg_Best_Event","Avg_Score","Avg_Weighted_Score","Total_Weighted_Score","Score_800","Avg_800","Score_1600","Avg_1600","Score_3200","Avg_3200","Score_5kXC","Avg_5kXC","Weighted_Score","Weighted_Score_V2"
"1","ADAMS STATE",5,12.7462738352916,0.931145484949833,0.669054068185595,0.858090620325709,8.58090620325709,NA,NA,2.81578947368421,0.563157894736842,2.92964824120603,0.585929648241206,4.45192307692308,0.890384615384615,1.98161261160189,2.78879451605855
"2","Alabama Huntsville",5,11.7095093971589,0.794219325371798,0.671810426351869,0.774049312012153,7.74049312012153,NA,NA,3.64912280701754,0.729824561403509,NA,NA,3.26442307692308,0.652884615384615,1.82454388304054,2.5156602640395
"3","Augusta",5,14.423933001126,0.908447941461694,0.76267809574629,0.888560252341329,8.88560252341329,NA,NA,4,0.8,4.38693467336683,0.877386934673367,4.21634615384615,0.843269230769231,2.18711152457043,2.88782082010932
"4","Augustana (S.D.)",5,11.6163420480623,0.823513695184837,0.646191453635208,0.796484085333079,7.96484085333079,NA,NA,3.24561403508772,0.649122807017544,3.07035175879397,0.614070351758794,NA,NA,1.81413540969777,2.58857327733251
"5","Azusa Pacific",3,3.66859559267322,0.512110833853989,0.407621732519246,0.476927767492433,2.8615666049546,NA,NA,1.10087719298246,0.366959064327485,1.12060301507538,0.373534338358459,NA,NA,0.775514759068541,1.07308747685797
"6","Biola ",5,9.98941457787677,0.777887836618992,0.558621862318693,0.703716478891553,7.03716478891553,1.83695652173913,0.367391304347826,3.00438596491228,0.600877192982456,NA,NA,NA,NA,1.58940752359462,2.28707855639755
"7","CAL POLY POMONA",5,12.0155021720113,0.858357238283184,0.600775108600563,0.817567213598356,8.17567213598356,1.61413043478261,0.322826086956522,3.15789473684211,0.631578947368421,3.84924623115578,0.769849246231156,3.39423076923077,0.678846153846154,1.84528066681468,2.65709344419466
"8","Cedarville ",5,7.28635596055145,0.677525587805247,0.455448581273537,0.660692152232736,5.80884459925043,NA,NA,NA,NA,1.97989949748744,0.395979899497487,3.27403846153846,0.654807692307692,1.22737012181401,1.94773026398716
"9","Charleston",4,5.81886829559403,0.696413600560156,0.52866693736338,0.696413600560156,5.57130880448125,NA,NA,2.10964912280702,0.527412280701754,NA,NA,2.09615384615385,0.524038461538462,1.12478573846516,1.91513740154043
"10","CHICO STATE",5,11.5823240255139,0.835806987026902,0.579116201275697,0.754353116798568,7.54353116798568,1.67391304347826,0.334782608695652,2.89473684210526,0.578947368421053,3.42713567839196,0.685427135678392,3.58653846153846,0.717307692307692,1.782113298,2.45164762959535
"11","Clayton State",1,0.0380434782608696,0.0380434782608696,0.0380434782608696,0.0380434782608696,0.0380434782608696,0.0380434782608696,0.0380434782608696,NA,NA,NA,NA,NA,NA,0.0380434782608696,0.0380434782608696
"12","COLORADO CHRISTIAN",5,6.0120097126482,0.475108641104956,0.386126801421884,0.427545902958435,4.27545902958435,NA,NA,1.71929824561404,0.343859649122807,NA,NA,NA,NA,0.984307828417745,1.38952418461491
"13","COLORADO MESA",5,5.42290898767144,0.452046560031278,0.329229802307613,0.399417015547726,3.99417015547726,1.94565217391304,0.389130434782609,1.81140350877193,0.362280701754386,NA,NA,NA,NA,0.887724423933462,1.29810530053011
"14","COLORADO MINES",5,14.7610548414784,0.948625535410432,0.738052742073921,0.913138475190009,9.13138475190009,3.79347826086957,0.758695652173913,4.44298245614035,0.88859649122807,3.4572864321608,0.691457286432161,3.06730769230769,0.613461538461539,2.22458206934897,2.96770004436753
"15","Columbus State",5,5.29811788877498,0.524126474212287,0.312689503056168,0.416705968306002,4.08532891382925,NA,NA,NA,NA,NA,NA,0.735576923076923,0.147115384615385,0.895807130090496,1.33386170468681
"16","DRURY",4,6.42005014216184,0.640922959572845,0.401253133885115,0.555068429853899,4.44054743883119,2.19565217391304,0.548913043478261,1.9780701754386,0.494517543859649,0.804020100502513,0.201005025125628,1.44230769230769,0.360576923076923,1.09900076498788,1.52643818209822
"17","East Central ",3,5.9805386582033,0.99686296981986,0.995918922095859,0.99686296981986,4.9862029445473,NA,NA,NA,NA,2.98492462311558,0.994974874371859,NA,NA,1.4947585147962,1.99419796350172
"18","Flagler College",5,8.02478997846712,0.556210878956184,0.415589299828466,0.508687541960816,5.08687541960816,NA,NA,1.9780701754386,0.395614035087719,2.68844221105528,0.537688442211055,1.83653846153846,0.367307692307692,1.23275799934342,1.65323451137265
"19","Florida Southern",5,5.1462708720508,0.47276830376137,0.343084724803387,0.440159608109196,4.40159608109196,NA,NA,1.60526315789474,0.321052631578947,NA,NA,1.19230769230769,0.238461538461538,0.875276771111322,1.43051872635489
"20","Fresno Pacific ",5,10.9669165592676,0.799239151074271,0.703556672741556,0.781441154829478,7.81441154829478,NA,NA,3.76754385964912,0.753508771929825,2.9748743718593,0.594974874371859,NA,NA,1.76816565272725,2.5396837531958
"21","GVSU",5,13.4335369050262,0.962402515275433,0.850198537439196,0.951127389647292,8.53137439898548,NA,NA,NA,NA,4.52261306532663,0.904522613065327,4.57692307692308,0.915384615384615,2.15341396533239,2.84618914198184
"22","Harding ",3,6.25644239504157,0.824752097635393,0.575380211720523,0.752200169420712,4.51320101652427,1.45652173913043,0.485507246376812,1.88157894736842,0.62719298245614,1.66834170854271,0.556113902847571,NA,NA,1.24323518441858,1.6924503811966
"23","HUMBOLDT STATE",5,8.20061633933913,0.788851307821157,0.484797546832227,0.720165767522114,7.20165767522114,NA,NA,2.73245614035088,0.546491228070175,1.95979899497487,0.391959798994975,NA,NA,1.37800093047849,2.34053874444687
"24","Lee",5,13.5451720994222,0.932524718735377,0.715768917122726,0.853457248765095,8.53457248765095,3.3804347826087,0.676086956521739,3.53070175438596,0.706140350877193,NA,NA,3.98076923076923,0.796153846153846,2.08541155599773,2.77373605848656
"25","Malone ",5,6.33248024063874,0.745966004699317,0.497083638810041,0.658907942207664,5.98581855251143,NA,NA,NA,NA,NA,NA,NA,NA,1.18017624534862,1.99063559478361
"26","Michigan Tech ",5,6.30094149973007,0.588417532124626,0.415916885052106,0.537243779184605,4.99263009953835,NA,NA,NA,NA,1.74371859296482,0.348743718592965,NA,NA,1.07341960534891,1.65109035927304
"27","Oklahoma Baptist ",5,9.64602417488487,0.66371237458194,0.491400374579679,0.595258311669242,5.95258311669242,3.31521739130435,0.66304347826087,2.17543859649123,0.435087719298246,NA,NA,2.12019230769231,0.424038461538462,1.4757875546111,1.93458951292504
"28","Saginaw Valley ",5,12.8585189818423,0.901319095477387,0.717295999976314,0.890440916959379,8.90440916959379,NA,NA,2.90350877192982,0.580701754385965,4.22110552763819,0.844221105527638,4.20673076923077,0.841346153846154,2.00502753636334,2.89393298011798
"29","Shippensburg",3,3.47242636272957,0.531271391969332,0.410763298063069,0.500690043810753,3.00414026286452,NA,NA,1.2280701754386,0.409356725146199,NA,NA,1.04326923076923,0.34775641025641,0.765132842092224,1.12655259857419
"30","SIMON FRASER",2,3.47435595214823,0.975448131197559,0.903334687676879,0.925654205428362,2.72979073475693,1.71739130434783,0.858695652173913,NA,NA,NA,NA,NA,NA,1.18928219153229,1.3766883377605
"31","Sioux Falls",5,4.79854180911599,0.391304347826087,0.264607005474673,0.333683253738622,3.33683253738622,1.95652173913043,0.391304347826087,1.03947368421053,0.207894736842105,NA,NA,1.25480769230769,0.250961538461538,0.768679422779371,1.08447057465052
"32","SOUTHERN INDIANA",5,8.50754962986027,0.620956551076688,0.513283820491591,0.613423399636214,6.13423399636214,NA,NA,2.43421052631579,0.486842105263158,NA,NA,2.67307692307692,0.534615384615385,1.3557794936625,1.9936260488177
"33","UCCS",5,9.43413073258094,0.852357272780614,0.561937348821893,0.797037219925833,7.05189393838877,NA,NA,NA,NA,NA,NA,2.83653846153846,0.567307692307692,1.56532465678129,2.36075139954157
"34","UMary",5,9.61545628232107,0.734941031508537,0.538845128567302,0.687906133525104,6.87906133525104,NA,NA,2.8640350877193,0.57280701754386,NA,NA,1.87980769230769,0.375961538461538,1.52494460511917,2.23569493395659
"35","Virgina State",2,2.40589244851259,0.801630434782609,0.601473112128146,0.601473112128146,2.40589244851259,1.60326086956522,0.801630434782609,0.802631578947368,0.401315789473684,NA,NA,NA,NA,0.861977974828375,1.05257794622426
"36","Walsh ",5,13.6371889997721,0.850601335168479,0.681859449988604,0.825718805182988,8.25718805182988,3.38586956521739,0.677173913043478,3.81140350877193,0.762280701754386,2.94472361809045,0.58894472361809,3.49519230769231,0.699038461538461,2.0448891590389,2.68358611684471
"37","Wayne State (MI)",4,8.85003978261312,0.761513199357994,0.633944486463616,0.728968698041932,5.83174958433545,NA,NA,2.23684210526316,0.559210526315789,2.44221105527638,0.610552763819096,2.73076923076923,0.682692307692308,1.50658150123632,2.00466391961531
"38","WESTERN WASHINGTON",5,12.2852805142299,0.923122094070658,0.648985025535469,0.844270223823453,8.44270223823453,3.46739130434783,0.693478260869565,4.05701754385965,0.81140350877193,NA,NA,2.50961538461538,0.501923076923077,1.92226940181899,2.74387822742622
"39","Wingate",2,2.71510297482838,0.87929061784897,0.871710526315789,0.871710526315789,2.71510297482838,1.72826086956522,0.864130434782609,NA,NA,NA,NA,NA,NA,1.05908180778032,1.33255863844394
