"","Team","N_Runers","Total_Score","Avg_Best_Event","Avg_Score","Avg_Weighted_Score","Total_Weighted_Score","Score_800","Avg_800","Score_1600","Avg_1600","Score_3200","Avg_3200","Score_5kXC","Avg_5kXC","Weighted_Score","Weighted_Score_V2"
"1","ADAMS STATE",5,12.2257303740279,0.958042576344964,0.841318566198398,0.950215077242859,9.50215077242859,NA,NA,4.74712643678161,0.949425287356322,NA,NA,NA,NA,2.02644935103998,3.08819900103929
"2","ALASKA FAIRBANKS",4,10.7153918208435,0.904735988389465,0.817923632262939,0.889034241363119,7.11227393090495,NA,NA,3.45977011494253,0.864942528735632,3.5985401459854,0.89963503649635,NA,NA,1.84239539357161,2.44484416374858
"3","Arkansas Tech",5,8.93626641409499,0.665174658520431,0.463701426039541,0.629749965786481,6.29749965786482,NA,NA,2.74712643678161,0.549425287356322,2.25547445255474,0.451094890510949,2.10526315789474,0.421052631578947,1.39154721783744,2.04668738880607
"4","Augusta",2,2.31911323872905,0.471884840305893,0.289889154841131,0.395263647113431,1.58105458845372,0.869822485207101,0.43491124260355,0.626436781609195,0.313218390804598,0.167883211678832,0.0839416058394161,0.654970760233918,0.327485380116959,0.565609837415827,0.691711382448504
"5","Augustana (S.D.)",5,10.6413939877766,0.787542836357253,0.618102803982594,0.694417887107051,6.94417887107051,NA,NA,2.74712643678161,0.549425287356322,NA,NA,NA,NA,1.68820793531186,2.25685813309792
"6","Biola ",4,5.45811159215148,0.587153711529432,0.490369294911576,0.556240264672104,3.36805077234759,NA,NA,NA,NA,NA,NA,NA,NA,1.02585729128271,1.25919289159098
"7","Cedarville ",5,11.2712971891037,0.807138684929461,0.651441199848287,0.77742554728587,7.7742554728587,NA,NA,2.88505747126437,0.577011494252874,NA,NA,3.47953216374269,0.695906432748538,1.7757057928063,2.52663302867908
"8","Charleston",4,4.49255711284222,0.55443306669129,0.35346693465536,0.479032011768736,3.15178272136882,NA,NA,NA,NA,NA,NA,0.982456140350877,0.245614035087719,0.847762405288418,1.14721968916876
"9","CHICO STATE",5,12.2721823901355,0.8179947099059,0.651484619713,0.800461521704252,8.00461521704252,2.02958579881657,0.405917159763314,3.80459770114943,0.760919540229885,NA,NA,4.02923976608187,0.805847953216374,1.88015843283241,2.60149994553882
"10","Clayton State",3,0.979056109621637,0.247920919985697,0.174106754895075,0.201812058087362,0.873594242015295,0.692307692307692,0.230769230769231,NA,NA,NA,NA,NA,NA,0.28412735640398,0.369757604069345
"11","COLORADO CHRISTIAN",5,5.90873724119693,0.415830001233193,0.295436862059847,0.371119142502142,3.71119142502142,1.54437869822485,0.30887573964497,1.36781609195402,0.273563218390805,1.36496350364964,0.272992700729927,1.63157894736842,0.326315789473684,0.904924155642894,1.20613721313196
"12","COLORADO MESA",5,9.29581480157331,0.751230146371847,0.576651024834487,0.730499325236167,6.5771826014741,NA,NA,NA,NA,NA,NA,3.48538011695906,0.697076023391813,1.51839905112331,2.19217014429565
"13","COLORADO MINES",5,11.0645301144154,0.920496780898317,0.713122311559867,0.873118663874331,8.73118663874331,2.88757396449704,0.577514792899408,3.35632183908046,0.671264367816092,NA,NA,NA,NA,1.8312128795808,2.83763565759158
"14","Columbus State",3,0.704062358112317,0.10130760803062,0.0762157228251492,0.0899631226768554,0.469603297464641,NA,NA,NA,NA,NA,NA,0.245614035087719,0.0818713450292398,0.149037140436054,0.184873166373802
"15","Dallas Baptist",5,7.3220892900848,0.691727670722322,0.481267065152727,0.620730284623813,5.23097148529138,NA,NA,NA,NA,NA,NA,2.33333333333333,0.466666666666667,1.24953352987377,1.77329058479071
