gender,event,type,conversion
men,200m,undersized,0.9968
men,400m,undersized,0.9746
men,500m,undersized,0.9758
men,600m,undersized,0.9768
men,800m,undersized,0.9859
men,1000m,undersized,0.9794
men,mile,undersized,0.9816
men,3000m,undersized,0.9839
men,5000m,undersized,0.9855
men,4x400m,undersized,0.9746
men,dmr,undersized,0.9798
women,200m,undersized,0.9749
women,400m,undersized,0.9799
women,500m,undersized,0.9812
women,600m,undersized,0.9823
women,800m,undersized,0.9838
women,1000m,undersized,0.985
women,mile,undersized,0.9871
women,3000m,undersized,0.9896
women,5000m,undersized,0.9913
women,4x400m,undersized,0.9799
women,dmr,undersized,0.9853
men,200m,flat,0.9824
men,400m,flat,0.9843
men,500m,flat,0.9848
men,600m,flat,0.9852
men,800m,flat,0.9859
men,1000m,flat,0.9864
men,mile,flat,0.9874
men,3000m,flat,0.9885
men,5000m,flat,0.9894
men,4x400m,flat,0.9843
men,dmr,flat,0.9866
women,200m,flat,0.9847
women,400m,flat,0.9869
women,500m,flat,0.9874
women,600m,flat,0.9879
women,800m,flat,0.9886
women,1000m,flat,0.9892
women,mile,flat,0.9902
women,3000m,flat,0.9915
women,5000m,flat,0.9924
women,4x400m,flat,0.9869
women,dmr,flat,0.9894
